,Time,Topics,pos/neu/neg
364,2021-12-01 15:18:57+00:00,joke,neutral
365,2021-12-01 15:18:44+00:00,news,neutral
366,2021-12-01 15:18:00+00:00,news,neutral
367,2021-12-01 15:17:36+00:00,news,neutral
368,2021-12-01 15:17:08+00:00,news,neutral
369,2021-12-01 15:17:06+00:00,news,neutral
371,2021-12-01 15:16:15+00:00,news,neutral
372,2021-12-01 15:16:00+00:00,news,neutral
373,2021-12-01 15:15:47+00:00,news,neutral
374,2021-12-01 15:15:04+00:00,news,negative
375,2021-12-01 15:15:03+00:00,news,neutral
376,2021-12-01 15:14:51+00:00,news,negative
377,2021-12-01 15:14:42+00:00,vaccine effects,negative
378,2021-12-01 15:14:41+00:00,news,neutral
379,2021-12-01 15:14:28+00:00,news,neutral
380,2021-12-01 15:14:14+00:00,news,neutral
381,2021-12-01 15:14:02+00:00,news,neutral
382,2021-12-01 15:13:53+00:00,vaccine effects,negative
383,2021-12-01 15:13:47+00:00,news,neutral
384,2021-12-01 15:13:36+00:00,news,neutral
385,2021-12-01 15:13:36+00:00,news,neutral
386,2021-12-01 15:13:29+00:00,joke,neutral
387,2021-12-01 15:13:25+00:00,news,neutral
388,2021-12-01 15:13:16+00:00,vaccine effects,negative
389,2021-12-01 15:13:09+00:00,news,negative
390,2021-12-01 15:12:54+00:00,news,negative
391,2021-12-01 15:12:46+00:00,vaccine effects,negative
392,2021-12-01 15:12:30+00:00,news,neutral
393,2021-12-01 15:11:02+00:00,news,neutral
394,2021-12-01 15:11:01+00:00,news,neutral
395,2021-12-01 15:10:56+00:00,news,positive
396,2021-12-01 15:10:47+00:00,news,neutral
397,2021-12-01 15:10:44+00:00,news,neutral
398,2021-12-01 15:10:10+00:00,news,neutral
399,2021-12-01 15:10:06+00:00,news,neutral
400,2021-12-01 15:10:03+00:00,news,neutral
401,2021-12-01 15:09:55+00:00,news,neutral
402,2021-12-01 15:09:41+00:00,news,neutral
403,2021-12-01 15:09:38+00:00,news,neutral
404,2021-12-01 15:08:07+00:00,news,neutral
405,2021-12-01 15:07:17+00:00,news,negative
406,2021-12-01 15:06:58+00:00,news,positive
407,2021-12-01 15:06:38+00:00,vaccine effects,negative
408,2021-12-01 15:06:37+00:00,pro vax,positive
409,2021-12-01 15:06:20+00:00,news,neutral
410,2021-12-01 15:06:08+00:00,news,negative
411,2021-12-01 15:06:02+00:00,news,neutral
412,2021-12-01 15:05:22+00:00,vaccine effects,negative
413,2021-12-01 15:05:14+00:00,vaccine effects,negative
414,2021-12-01 15:05:10+00:00,vaccine effects,negative
415,2021-12-01 15:05:10+00:00,news,neutral
416,2021-12-01 15:05:08+00:00,news,negative
417,2021-12-01 15:05:08+00:00,news,neutral
418,2021-12-01 15:04:44+00:00,news,neutral
419,2021-12-01 15:04:38+00:00,news,neutral
420,2021-12-01 15:04:38+00:00,vaccine effects,negative
421,2021-12-01 15:04:34+00:00,news,positive
422,2021-12-01 15:04:33+00:00,news,neutral
